No;Judul;Penulis;Abstract
779;"Strategic foresight for agriculture: Past ghosts, present challenges, and future opportunities";"Steven D. Prager a,* , Keith Wiebe b";"Strategic foresight is systematic means to explore plausible futures. In the agricultural context, strategic foresight allows decision-makers to explore how alternative investments in agriculture research may function given anticipated futures associated with a variety of drivers ranging from climate change to increasing wealth to a changing policy environment. This paper presents an overview and context for six recently published articles in Global Food Security that comprise a virtual special issue on agricultural futures. Each of the papers takes a distinct perspective and addresses key issues from how past trends drive future outcomes to specific commodity systems to issues around employment and rural transformation. While each of the included papers stands on its own merits, the collection presents a unique opportunity to unpack the role of investment in agriculture research from a variety of perspectives. Collectively, the special issue offers insights to support current and future investment planning to better target desired outcomes associated with long-term agricultural research."
780;Assessing GHG cycling in agricultural and riparian soils using a uniform reactive transport modeling approach;"Mengqi Jia a,* , Oliver Blume b , Richard T. Amos b , Danyang Su a , David R. Lapen c , K. Ulrich Mayer a";"Agricultural drainage ditches are necessary for regulating moisture contents in fields for crop production, and moreover, they can provide and regulate important ecosystem services. Drainage ditches and their associated riparian zones can be significant sources of enhanced N2O, CH4 and CO2 emissions, since they receive nutrient laden runoff and drainage from adjacent fields, while providing moisture conditions suitable for the production of greenhouse gases (GHGs). In this study, a uniform reactive transport model with up-scaled rate parameters was used to assess the dynamics of GHG cycling and biogeochemical processes in a crop field and riparian soils adjacent to a drainage ditch (i.e., located on the shoulder and midslope of the ditch) in eastern Ontario, Canada. Simulations adequately reproduced observed spatial variations in pore gas GHG concentrations in the cropped field and the monitoring locations near the drainage ditch. Spatial variations can be attributed to differences in environmental factors (i.e., soil moisture content and temperature), soil nutrient supply (i.e., NH4 +, NO3 ? ), and organic C availability. Simulation results also showed that at this site, GHG emissions did not vary significantly between monitoring locations, suggesting that the ditch slopes are not significant GHG emission hotspots. Both major rainfall events and warmer summer temperatures led to the development of hot moments for CO2 and N2O emissions and corresponding soil gas concentrations. Although the uniform model was successful in reproducing long-term trends in observed data, the model was not able to fully capture in-season temporal variability of fluxes and concentrations related to acute precipitation events (i.e., hot moments). Nevertheless, the modeling approach presented shows promise for future studies comparing the effect of management styles for agricultural soils and drainage ditch zones on GHG emissions and uptake."
781;From cropland to cropped field: A robust algorithm for national-scale mapping by fusing time series of Sentinel-1 and Sentinel-2;"Bingwen Qiu a,* , Duoduo Lin a , Chongcheng Chen a , Peng Yang b , Zhenghong Tang c , Zhenong Jin d , Zhiyan Ye a , Xiaolin Zhu e , Mingjie Duan e , Hongyu Huang a , Zhiyuan Zhao a , Weiming Xu a , Zuoqi Chen a";"Detailed and updated maps of actively cropped fields on a national scale are vital for global food security. Unfortunately, this information is not provided in existing land cover datasets, especially lacking in smallholder farmer systems. Mapping national-scale cropped fields remains challenging due to the spectral confusion with abandoned vegetated land, and their high heterogeneity over large areas. This study proposed a large-area mapping framework for automatically identifying actively cropped fields by fusing Vegetation-Soil-Pigment indices and Synthetic-aperture radar (SAR) time-series images (VSPS). Three temporal indicators were proposed and highlighted cropped fields by consistently higher values due to cropping activities. The proposed VSPS algorithm was exploited for national-scale mapping in China without regional adjustments using Sentinel-2 and Sentinel-1 images. Agriculture in China illustrated great heterogeneity and has experienced tremendous changes such as non-grain orientation and cropland abandonment. Yet, little is known about the locations and extents of cropped fields cultivated with field crops on a national scale. Here, we produced the first national-scale 20 m updated map of cropped and fallow/abandoned land in China and found that 77 % of national cropland (151.23 million hectares) was actively cropped in 2020. We found that fallow/abandoned cropland in mountainous and hilly regions were far more than we expected, which was significantly underestimated by the commonly applied VImax-based approach based on the MODIS images. The VSPS method illustrates robust generalization capabilities, which obtained an overall accuracy of 94 % based on 4,934 widely spread reference sites. The proposed mapping framework is capable of detecting cropped fields with a full consideration of a high diversity of cropping systems and complexity of fallow/abandoned cropland. The processing codes on Google Earth Engine were provided and hoped to stimulate operational agricultural mapping on cropped fields with finer resolution from the national to the global scale."
782;Integrating sustainability indicators and governance structures via clustering analysis and multicriteria decision making for an urban agriculture network;"Andrea Valencia a , Jiangxiao Qiu b , Ni-Bin Chang a";"Environmental, social, and economic sustainability patterns interact in various dimensions of an urban environment. Exacerbated population growth triggers an emphasis on better resource management strategies addressing the balance of supply and demand over food, energy, and water sectors while considering social and economic development. Promoting sustainable development goals requires governance structures and functions within and across the food, energy, and water sectors, specifically due to polycentric urban development. This study emphasizes food security via an urban agriculture network in the greater Miami metropolitan area, encompassing the three counties of Palm-Beach, Broward, and Miami-Dade. Given the existing governance structure, we quantified several sustainability indices for clustering analysis to agglomerate urban agricultural sites (UASs) and to help identify the priority of clusters in terms of vulnerability or risk level according to their priority index in multicriteria decision-making. The cases of eight clusters were selected for the visualization of the UASs ranked by multicriteria decision-making based on scenarios prioritized for governance under the impacts of climate change, social equity, and economic development. The role of governance structure was highlighted for signifying the incentive programs to enhance the overall sustainability performance of UASs in an urban food?energy?water nexus."
783;Arkansas producers value upload speed more than download speed for precision agriculture applications;"Jacob L. Manlove a,* , Aaron M. Shew b , Oladipo S. Obembe a";"While access to broadband services has increased in recent years, many agricultural producers remain without access or are served by an inadequate connection. As many precision agriculture applications rely on data transfer through broadband networks, the expansion of broadband into rural areas has become critical for farm modernization. This study recruited Arkansas agriculture producers to complete a choice experiment on their willingness-to-pay (WTP) for a broadband connection. We examine factors influencing producers? WTP for broadband upload and download speed using a conditional logit model. In the evaluation of WTP for broadband, producers were willing to pay on average $1.07 to $1.34 per Mbps (megabits per second) of upload speed, compared to $0.02 to $0.03 per Mbps of download speed. Producers also placed a premium on the reliability of the connection. These results suggest that producers value a symmetrical data flow for production operations to support precision agriculture applications."
784;Evolution of dietary structure and its living environment effect: A study in the agricultural area of ?Yarlung Zangbo River and its two tributaries? on the Qinghai-Tibet Plateau;"Yuanyuan Zhu a,1 , Lingen Wang b,1 , Yan Zhang a,1 , Xiaohua Zhu b";"Exploring the evolution of residents? dietary structure and its effects on the living environment is significant for realizing the global sustainable goal. This study constructed a theoretical framework to explore the relationship between diet structure and living environment, took the Qinghai-Tibet Plateau region as the research object, analyzed the evolution characteristics of the dietary structure, and used the carbon emission coefficient method and the introduction of virtual water and virtual land concepts to investigate the living environment effects of dietary structure evolution. The results showed that from 2010 to 2018, the dietary structure of residents in the ?Yarlung Zangbo River and its two tributaries? agricultural area on the Qinghai-Tibet Plateau evolved from a plant-based diet to a diversified diet. The burden on the living environment gradually weakened with the dietary structure evolution. Compared to 2010, per capita food carbon emissions and water and land resources consumption decreased by 27.2%, 24.5%, and 15.8%, respectively. However, compared with the balanced diet model of the Chinese Dietary Guidelines 2022, the food carbon emissions in the study area increased significantly by 29.4%, land resource utilization increased by 2.5%, and water resource utilization gradually approached the critical value. Furthermore, we found that regions with high meat consumption put more burden on the living environment. Therefore, we suggest that encouraging residents to reduce meat consumption and optimize diet structure may be an effective way to achieve a sustainable living environment in the future."
785;Environmental assessment of vegetable crops towards the water-energy-food nexus: A combination of precision agriculture and life cycle assessment;"Adriana Del Borghi a,* , Valeria Tacchino a , Luca Moreschi a , Agata Matarazzo b , Michela Gallo a , Diego Arellano Vazquez a,c";"The increase in world population and the resulting demand for food, water and energy are exerting increasing pressure on soil, water resources and ecosystems. Identification of tools to minimise the related environmental impacts within the food?energy?water nexus is, therefore, crucial. The purpose of the study is to carry out an analysis of the agri-food sector in order to improve the energy-environmental performance of four vegetable crops (beans, peas, sweet corn, tomato) through a combination of precision agriculture (PA) and life cycle assessment (LCA). Thus, PA strategies were identified and a full LCA was performed on actual and future scenarios for all crops in order to evaluate the benefits of a potential combination of these two tools. In the case study analysed, a life cycle approach was able to target water consumption as a key parameter for the reduced water availability of future climate scenarios and to set a multi-objective function combining also such environmental aspects to the original goal of yield maximisation. As a result, the combination of PA with the LCA perspective potentially allowed the path for an optimal trade-off of all the parameters involved and an overall reduction of the expected environmental impacts in future climate scenarios."
786;Definition of optimal agricultural plastic waste collection centers with advanced spatial analysis tools;"Phoebe-Zoe Morsink-Georgali * , Nicholas Afxentiou, Angeliki Kylili, Paris A. Fokaides";"The volumes of agricultural plastic waste (APW) generated are continuously rising, creating the need for sustainable management, especially in countries with large agricultural areas. This paper proposes a location allocation model for the establishment of centers for process and recycling of APW, presenting an enormous opportunity for the plastics manufacturing industry. The proposed model was tested with data retrieved for the case of Cyprus, an island EU member state well renowned for its agricultural production. Under this context, the greenhouses in Cyprus were categorized in clusters based on their geographical dispersion and mapped with the use of geographical information system (GIS). The GIS tool also enabled the calculation of the annual APW generation. An optimized design of the APW supply chain, which achieves the lowest energy needs, was delivered. Non-Linear Programming was employed to indicate the optimal locations for the establishment of collection points within each cluster and province of the island as well as the theoretical optimal geographic location for the establishment of an APW recycling plant in the island state. Based on the location-allocation analysis findings, design specifications for the APW recycling units are also proposed."
787;Agricultural production under rural tourism on the Qinghai-Tibet Plateau: From the perspective of smallholder farmers;"Yang Lun a , Sun Jing b , Liu Moucheng a , Min Qingwen a,c";"Rural tourism has been the leading alternative livelihood of farmers on the Qinghai-Tibet Plateau in recent years. However, the trade-off between agricultural production and rural tourism has been gradually serious. Therefore, we selected the Zhagana Village, an example of rural tourism on the Qinghai-Tibet Plateau, to discuss the agricultural production under rural tourism from smallholder farmers? perspective, and analyze its existence severity of the trade-off. Based on the comparative analysis of smallholder farmers? agricultural production behavior (including the production scale, agricultural input, agricultural output, and production efficiency), we reviewed the agricultural production in the whole study region in 2005?2019. The results show a certain degree of trade-off between agricultural production and rural tourism on the Qinghai-Tibet Plateau. At the level of smallholder farmers, under the background of rural tourism development, agricultural production efficiency (mainly the production efficiency of grassland) has significantly increased due to the further expansion of the scale of livestock husbandry by smallholder farmers. At the regional level, with the development of rural tourism, the regional production structure has gradually changed from the integrated management of farming, forestry, and animal husbandry into the mode of taking animal husbandry as a dominant industry, farming and forestry as supplementary industries, but the regional agricultural productivity has not been stagnated or weakened."
788;Climate change and ecological intensification of agriculture in sub-Saharan Africa ? A systems approach to predict maize yield under push-pull technology;"Nikolaos Alexandridis a,1,* , Benjamin Feit b,1 , Job Kihara c , Tim Luttermoser d , Wilhelm May a , Charles Midega e,f , Ingrid Oborn ? g , Katja Poveda d , Gudeta W. Sileshi h,i , Beyene Zewdie j , Yann Clough a,2 , Mattias Jonsson b,2";"Assessing effects of climate change on agricultural systems and the potential for ecological intensification to increase food security in developing countries is essential to guide management, policy-making and future research. ?Push-pull? technology (PPT) is a poly-cropping design developed in eastern Africa that utilizes plant chemicals to mediate plant?insect interactions. PPT application yields significant increases in crop productivity, by reducing pest load and damage caused by arthropods and parasitic weeds, while also bolstering soil fertility. As climate change effects may be species- and/or context-specific, there is need to elucidate how, in interaction with biotic factors, projected climate conditions are likely to influence future functioning of PPT. Here, we first reviewed how changes in temperature, precipitation and atmospheric CO2 concentration can influence PPT components (i.e., land use, soils, crops, weeds, diseases, pests and their natural enemies) across sub-Saharan Africa (SSA). We then imposed these anticipated responses on a landscape-scale qualitative mathematical model of maize production under PPT in eastern Africa, to predict cumulative, structure-mediated impacts of climate change on maize yield. Our review suggests variable impacts of climate change on PPT components in SSA by the end of the 21st century, including reduced soil fertility, increased weed and arthropod pest pressure and increased prevalence of crop diseases, but also increased biological control by pests? natural enemies. Extrapolating empirical evidence of climate effects to predict responses to projected climate conditions is mainly limited by a lack of mechanistic understanding regarding single and interactive effects of climate variables on PPT components. Model predictions of maize yield responses to anticipated impacts of climate change in eastern Africa suggest predominantly negative future trends. Nevertheless, maize yields can be sustained or increased by favourable changes in system components with less certain future behaviour, including higher PPT adoption, preservation of field edge density and agricultural diversification beyond cereal crops."
789;Adaptive feature fusion pyramid network for multi-classes agricultural pest detection;"Lin Jiao a,* , Chengjun Xie b , Peng Chen c , Jianming Du b,* , Rui Li b , Jie Zhang b";"The accurate and robust crop pest detection system is an important step to enable the reliable forecasting of agricultural pest in the community of precision agriculture, attracting great attention in many countries. For achieving the automatic recognition and detection of agricultural pest, previous methods adopt image processing-based methods, leading to lower efficiency. Then, machine vision-based methods are introduced into crop pest detection by using hand-crafted feature descriptors, improving the detection precision and speed. However, the manual feature is powerless for precise recognition. Considering powerful ability of feature extraction of convolutional neural network(CNN), we have developed a CNN-based method for multi-classes pest detection under complex scenes. In this paper, an adaptive feature fusion is introduced into feature pyramid network for extracting richer pest features. Then, an adaptive augmentation module has been developed for reducing the information loss of the highest-level feature maps. Finally, a two-stage region-based convolutional neural network (R-CNN) was built for refining predicted bounding boxes, which can obtain the categories and locations of pests of each image. We have conducted large quantities of comparison experiments on AgriPest21 dataset. Our method could achieve an accuracy of 77.0%, which significantly outperforms other state-of-the-art methods, including SSD, RetinaNet, FPN, Dynamic R-CNN, and Cascade R-CNN."
790;Evaluation of management practices on agricultural nonpoint source pollution discharges into the rivers under climate change effects;"Nasrin Badrzadeh a , Jamal Mohammad Vali Samani a , Mehdi Mazaheri a , Alban Kuriqi b,c,?";"In recent years, agricultural non-point source pollution (ANPSP) has become the biggest threat to Aras River water quality by completing the Mughan irrigation and drainage network. Nutrient pollutants, including nitrate and phosphate, released into the river through drains have created a range of obstacles for locals living around the river. Agricultural activities are generally considered the largest source of non-point pollution. They have no complex and uniform impact along the river. Thus, the spatial distribution of ANPS and highly polluted areas should be identified to manage watershed management. This study proposes a simple framework for identifying pollutant-sensitive areas along the river and management strategies to improve water quality. To this aim, the main factors affecting ANPSP were identified, and the effectiveness of the scenarios selected to comply with water quality regulations for drinking and environment during 1993?2007 were simulated. Based on the sensitivity analysis, land use and fertilizer are the main factors affecting river ANPSP. Thus, their changes were modeled in different scenarios. Based on the results, the ANPSP load was higher downstream. The agricultural lands in region 3 were considered the main source of pollution. Comparing the management scenarios showed that the amount of nitrate and phosphate leaching into the river decreased to 18.1 and 8.35 %, respectively, by reducing the consumption of urea and phosphate fertilizers by 50 %. The results help watershed managers implement eco-friendly land use and nutrient management programs at specific locations during specific periods to control ANPSP along the rivers."
791;Agricultural trade shocks and carbon leakage: Evidence from China?s trade shocks to the Belt & Road economies;"Jiangfeng Hu, Zhao Wang, Qinghua Huang, Mengjia Hu *";"Existing literature on carbon leakage mostly focused on polluting industries or at the national level. Agriculture is one of the main sources of carbon emissions, however, research on agricultural carbon leakage is still insufficient. To fill this gap, this paper investigates the impact of China?s agricultural trade shocks on carbon emissions in a panel of 62 economies along the Belt and Road (B&R) over the period 1990?2017. The results show that China?s supply shocks have a significant inhibitory effect on the agricultural carbon emissions of the B&R economies, and this inhibitory effect is very stable and will not be disturbed by other factors. On the contrary, China?s demand shocks only have a significant inhibitory effect on the carbon emission intensity of economies with a higher proportion of agriculture, but it will significantly increase the agricultural carbon emissions share in all economies."
792;Role of existing and emerging technologies in advancing climate-smart agriculture through modeling: A review;"Debaditya Gupta a , Nihal Gujre a,b , Siddhartha Singha a , Sudip Mitra a";"Under changing climate and burgeoning food production demands, climate-smart agriculture (CSA) practices are the need of the hour. Physically-based crop models have been designed, which require large sets of input variables, besides being timeworn, tedious, and not user-friendly in the current situation. There is a rapid advancement in the modeling approaches in agricultural practices. But, still, there is a shortage of comprehensive information related to the recent technological advancement in the modeling applications toward CSA and its prospects. The paper reviews, critically assess, and discusses the present state-of-art modeling technologies related to the CSA. Special emphasis is placed on highlighting the current research trends in the different crop simulation models and their CSA applications. The assessment and analysis of the combined implications of crop simulation and hydrological models form another vital area of our review. Subsequently, the suitability and future scope of AI in crop simulation models is thoroughly assessed. Finally, the ways to address future challenges for CSA through the models and AI-based approaches are evaluated. We have selected and critically reviewed the literature to deliberate on the various aspects of modeling and their impact on CSA. Overall, we attempted to distinctly bring out the different latest and advanced technologies and their potential roles in modeling exercises towards CSA. The current review also collates and presents new and innovative modeling approaches toward CSA with techno-feasible solutions. The review involves the simulation-optimization framework for coupling hydrological and climate models with crop models that presently have the utmost importance for the CSA. Concurrently it also highlights the overarching significance of different models and suggests refined solutions that enable better crop and environment estimation, field management, and decisionmaking."
793;Agricultural drought vulnerability assessment and diagnosis based on entropy fuzzy pattern recognition and subtraction set pair potential;"Rongxing Zhou, Juliang Jin, Yi Cui *, Shaowei Ning, Xia Bai, Libing Zhang, Yuliang Zhou, Chengguo Wu, Fang Tong";"The assessment and diagnosis of agricultural drought vulnerability is the basis for the scientific control and prevention of agricultural drought risk. In order to quantitatively evaluate the regional agricultural drought vulnerability and effectively deal with the fuzziness and randomness between evaluation sample and evaluation grade, the entropy fuzzy pattern recognition model, which was coupled with maximum information entropy principle and fuzzy pattern recognition method, was applied to the evaluation of agricultural drought vulnerability. Furthermore, in order to find methods to reduce drought vulnerability, the subtraction set pair potential method was used to further identify the main influence factors of agricultural drought vulnerability. In addition, a case study was carried out in Bengbu City, China. The results showed that during the period from 2001 to 2010, the evaluation value of agricultural drought vulnerability in Bengbu dropped from grade IV to III, which meant that the tolerance of agricultural system to drought had been improved. Moreover, the main factors that affected the vulnerability in Bengbu were precipitation, water use efficiency and irrigation protection area rate. And the latter two were the main objects of regulation and control. Compared with the other three methods, the physical concept of drought vulnerability assessment model based on entropy fuzzy pattern recognition is more obvious, and the evaluation results are reasonable and credible. The drought vulnerability diagnosis method based on subtraction set pair potential can accurately identify key influence factor and provide measures to reduce drought vulnerability and improve drought risk management."
794;Food insecurity and sovereignty threat to uncontrolled price spillover effects in financialized agricultural products: The red meat case in Turkiye;"Faruk Urak 1, *, Abdulbaki Bilgic 2";"The objective of this study is to examine the long-term uncertainty transmission between cattle and lamb carcass markets and the feed wheat market in terms of exogenous variables (e.g., gasoline price, exchange rate, and import variables) and whether the volatility is symmetrical, using the daily data from January 2005 to June 2019, and VAR (1)?BEKK?GARCH (1, 1) Model. The empirical results indicate that short- and longterm indirect and direct shocks and long-term uncertainty propagation significantly affect the conditional variances of the beef carcass, lamb carcass, and feed wheat returns, which poses a threat to producers in terms of product sovereignty and consumers in terms of food security. We also discovered that the conditional variances of the beef carcass, lamb carcass, and feed wheat returns were significantly affected by any increase in foreign exchange rates in times of import in comparison with those in the times of nonimport. Similarly, the fluctuations in the energy (gasoline) market increased the ongoing risk propagations in the lamb carcass and feed wheat markets, whereas they decreased it in the beef carcass market. Meanwhile, asymmetrical effects played a role in uncertainty in transitions for product markets. Additionally, the optimal portfolio weight of beef carcasses on lamb carcasses and feed wheat was 0.645 and 0.553, respectively, whereas the optimal portfolio weight of lamb carcasses on feed wheat remained at approximately 0.188."
795;Effects of different cropping systems on ammonia nitrogen load in a typical agricultural watershed of South China;"Jie Jiang a , Jun Li a , Zhaoli Wang a,* , Xushu Wu a , Chengguang Lai a , Xiaohong Chen b";"The excessive application of agricultural irrigation water and chemical fertilizer has increased crop yields to help meet the demand for food, but it has also led to major water environment problem, i.e. non-point source (NPS) pollution, which needs to be addressed to achieve sustainable development targets. Although numerous studies have focused on the control and reduction of agricultural NPS pollution from the perspective of irrigation and fertilizer, the effects of different cropping systems on NPS pollution (ammonia nitrogen (NH3- N)) in the Dongjiang River Basin (DRB) were seldom assessed. Specifically, variation in the NH3-N load was simulated and analyzed at the annual and semi-annual scales under ten different cropping systems using the Soil and Water Assessment Tool (SWAT) model, which was calibrated and validated with satisfactory statistical index values in the DRB. The results indicated that the NH3-N load decreased, distinctly increased, slightly decreased when sweet potato, peanut, and rice were planted, respectively. Compared with mono-cropping, crop rotation could reduce the NH3-N load, and the planting sequence of crops could affect the NH3-N load to a certain extent. Planting peanuts in spring would dramatically increase NH3-N load. To evaluate NH3-N pollution, a critical threshold of NH3-N emission (5.1 kg?ha- 1 ?year- 1 ) was proposed. Meeting the NH3-N emission threshold cannot be achieved by altering the cropping system alone additional measures are needed to reduce agricultural NPS pollution. This study facilitates the development of cropping systems and provides relevant information to aid the sustainable development of agriculture in the DRB."
796;"A hydro-economic analysis of end-of-century climate projections on agricultural land and water use, production, and revenues in the U.S. Northern Rockies and Great Plains";"Zachary H. Lauffenburger a,* , Marco P. Maneta a,c , Kelly M. Cobourn b , Kelsey Jencso c , Brian Chaffin c , Anna Crockett c , Bruce Maxwell d , John S. Kimball c";"Study region,Montana, U.S.A. Study focus Creating adaptation plans for projected imbalances in the western U.S. agricultural water demand-supply system are difficult given uncertainty in climate projections. It is critical to understand the uncertainties and vulnerabilities of the regional agricultural system and hydrologic impacts of climate change adaptation. We applied a stochastic, integrated hydro-economic model that simulates land and water allocations to analyse Montana farmer adaptations to a range of projected climate conditions and the response of the hydrologic system to those adaptations. Satellite observations of crop types, productivity, water use, and land allocation were used for model calibration. A suite of climate models was employed to quantify end-of-century impacts on streamflows, water and land use, production, and net revenues.New hydrological insights for the region Simulations showed summer streamflows were influenced by a state-wide 18.2% increase in agricultural water use. Decreased summer water availability with increased demand could have far reaching impacts downstream. Land use for irrigated crops increased 1.6%, while rainfed crops decreased 6.5%, implying state-level decrease in planted area. Even with increased land and water use for irrigated crops, production decreased 0.5%, while rainfed production decreased 2.7%. Corresponding losses in net revenues totaled 1.5% and 7.2% for irrigated and rainfed crops, respectively.Results highlight vulnerabilities of semi-arid agricultural regions and can aid water managers in sustaining agriculture in these regions."
797;Acoustics applied in the development of equipment for precision agriculture: Coffee handling and harvesting;"Geovanne P. Furriel a,b,* , Brunna C.R.S. Furriel a,c , Antonio ? P. Coimbra d , Wesley P. Calixto a,c";"This work presents a methodology for developing two types of equipment for precision agriculture applied in coffee handling and harvesting, based on acoustic techniques. The proposed methodology uses the similitude method to simulate induced vibration and the direction of sound pressure fields. After analyzing the scale reduction model, a prototype is built in real dimensions to validate the proposed system. Two acoustic induction systems are evaluated: (i) application of phytosanitary products and (ii) selective harvesting of fruits. In applying a phytosanitary product, there is a drift reduction and increase in leaf coverage by approximately 44.97%. In selective harvesting, the proposed method is analyzed, and approximately 40% of the fruits in the appropriate ripening stage were harvested. The presented acoustic techniques applied to agriculture are promising for developing equipment in precision coffee handling and harvesting. The results obtained indicate that using acoustic techniques in the harvest promotes the reduction of the inherent wear of the harvest in the plants."
798;Pathways to Agricultural Decarbonization: Climate Change Obstacles and Opportunities in the US;"Robert Sroufe a,* , Alec Watts b";"This study looks at the agriculture industry in the United States (US), waves of innovation, and scenario planning for decarbonization. First, a review of the field looks at prior work highlighting metrics and goals for decarbonization. We next provide a synthesis of material obstacles and opportunities within this industry sector. Then, based on an understanding of the field, we utilize scenario planning to understand ?how can we plan for decarbonizing the agricultural industry in the US in the next 10 to 25 years?? To help answer this question, we identify and rank drivers of change, uncertainty, and impact of these drivers. We then demonstrate how this industry?s decision-makers can plan for pathways while navigating obstacles and opportunities to an uncertain future. Finally, we identify four scenarios providing plausible pathways to a future that is different from business as usual and able to generate trillions of dollars of value across industries. The study is with a call to action for decision makers to put this industry on a different path than it has been on for the last 100 years. We see opportunities for researchers to conduct more studies on emission policies, valuing CO2 emissions, along with investments in infrastructure, public-private partnerships, and government incentives for decarbonization in the context of applying scenario planning across industries."
799;Multifractal analysis of China?s agricultural commodity futures markets;"Zhihui Lia , Xinsheng Lub";"We investigate the multifractal characteristics of the volatility time series from China?s agricultural commodity futures markets, using Multifractal Detrended Fluctuation Analysis and multifractal spectrum analysis. We find that prominent multifractal features exit in China?s major agricultural commodity futures markets, including the Hard Winter Wheat (HW) futures, the Strong Gluten Wheat (SG) futures, Soy Bean (SB) futures and corn futures. Furthermore, the multifractality strength and multifractal spectrum width of HW futures are both bigger than that of SG, SB and corn futures, implying that the market risk for HW futures might be the strongest among all the four futures contracts. Finally, comparing empirical results of shuffling and surrogate data, we also find that nonlinear temporal correlations instead of non-Gaussian distribution constitute the major contributions in the formation of multifractal features in these four agricultural commodity futures markets."
800;"An improved fuzzy sorting algorithm coupling bi-level programming for synergetic optimization of agricultural water resources: A case study of Fujian Province, China";"Yang Cheng a , Lei Jin a,* , Yalei Pan a , Ruolin Bai a , Yi Wei a , Guohe Huang b";"The uneven allocation of water resources and the shortage of regional water resources pose great challenges to the economic development and regional development balance of the Fujian province. Optimizing the water allocation structure in different regions can effectively alleviate water pressure. In this study, a type-2 fuzzy bilevel programming (T2FBL) method is proposed to plan the agricultural water resource system in the Fujian province. This method uses an improved fuzzy sorting algorithm to deal with uncertain parameters in the system and combines the bi-level programming method to balance the trade-off between two levels of decision-makers, the uncertain information contained in the secondary membership function omitted in the interval type-2 fuzzy theory is considered in the new ranking algorithm. Multiple scenarios related to different food security needs and different risk indices are examined. The major findings are as follows: (i) With an average tolerance of 75%, the average gross agricultural output value under various scenarios increased (0.4% ~ 7%) (average 3.89%) after optimization. (ii) The regional water allocation scheme under different food demands and different water availability scenarios is calculated, and the results show that prioritizing adjustments to the industrial water distribution structure of Fuzhou and Zhangzhou will greatly relieve the water pressure in the Fujian province. (iii) The relationship between the availability of system water resources and economic benefits is given through the calculation results of the T2FBL model. These findings can provide an in-depth understanding of the interaction between agricultural, industrial and tertiary industry water allocation and provide technical support for agricultural water resource planning issues."
801;Review of the internet of things communication technologies in smart agriculture and challenges;"Wen Tao a , Liang Zhao a,b,* , Guangwen Wang a , Ruobing Liang c";"The advent of Internet of Things (IoT) spurred a new direction of research in agriculture, and various IoT communication technologies are used to connect with different devices in different layers. With the rapid increasing number of studies and projects about IoT-based smart agriculture, information got scattered and the involved communication technologies were not been analyzed and discussed before in other reviews. Intending to identify and review scientifically validated literature on IoT communication technologies in smart agriculture, this study critically summarizes the recent research pertinent to the smart agriculture with IoT communication technologies. The employed method was a thorough search from these three databases, namely: ScienceDirect, IEEE Xplore, and Scopus. Total 94 research articles were reviewed after the total of 886 titles being scanned for relevance. The monitored parameters by sensors and communication technologies associated with IoT-based smart agriculture applications are analyzed comprehensively, as well as some specific issues, challenges, and recommendations in IoT applications in agriculture. The study provides reference for researchers, and more burgeoning communication technologies should be applied in agriculture to realize the great-leap forward development in smart agriculture."
802;Effect of land tenure fragmentation on the decision-making and scale of agricultural land transfer in China;"Yu CAO*, Jie Zou, Xiaoqian Fang, Jiayi Wang, Yu Cao, Guoyu Li";"This study uses a logistic model and multiple linear regression model to quantitatively study the impact of land tenure fragmentation on land transfer decision-making and scale at a single time point and in a time series. This study used the Chinese Family Database as a sample, and selected the number of plots and the average plot area to reflect the level of land tenure fragmentation. The results show that at a single time point the land tenure fragmentation has a significant positive effect on the transfer decision and a significant negative effect on the transfer scale. In the time series, the land tenure fragmentation does not affect the decision of households, but it has a significant negative impact on the transfer scale. Meanwhile, the study results at a single time point are affected by the particularity of the sample and the difference in external conditions at different time points. Therefore, when studying land transfer decisions, we should focus more on the initial state of land tenure. When studying the scale of land transfer, we should pay attention to both the current status of tenure fragmentation and the change in tenure fragmentation. The characteristics of families and communities also affect the transfer decision and scale however, the factors are different, and the same factors may affect the decision and scale in the opposite direction."
803;Analysis on the change of tourists leisure agricultural tourism behavior and the influence of individual intrinsic characteristics;"Mao Shuai a , Chunmeng Liu a, * , Faroq Ahmed a, b, **, Ranran Wang a";"With the development of leisure agriculture and consumer behavior, more attention should be paid to consumer experience. Based on the data of 2004 and 2019, this paper makes a comparative analysis on the tourism behavior of leisure agricultural tourists in Xuzhou, studies the process of behavior change, and uses the Heckman two-step model to analyze the impact of tourists internal characteristics on the consumption behavior of leisure agricultural tourists. The empirical results show that: in the past 15 years, there have been great changes in the way tourists collect information, and the Internet has become the main information collection tool the evaluation criteria of tourists have basically not changed, but the satisfaction has improved significantly the gender, age, occupation, education level and family structure of consumers have no significant impact on whether they choose leisure agricultural travel the income level will have an impact on tourists behavior Significant impact. The conclusions of the study are as follows: first, the use of Internet information channels to increase publicity second, aiming at the internal characteristics of tourists, targeted customer precision marketing third, to promote the supply side structural reform of leisure agriculture and promote the high-quality development of the industry"
